Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
DDLS,6238,0,0.00,0,0.00,31.32,5829,409
ARKX,6149,0,0.00,0,0.00,14.30,5899,250
IQDG,6131,0,0.00,0,0.00,34.13,5981,150
NUMG,6111,0,0.00,0,0.00,39.06,6111,0
VXZ,6079,0,0.00,0,0.00,14.91,6060,19
FRDM,5918,0,0.00,0,0.00,31.41,5918,0
DRSK,5756,0,0.00,0,0.00,24.26,5756,0
PMAY,5680,0,0.00,0,0.00,30.77,5680,0
DECZ,5571,0,0.00,0,0.00,31.15,5571,0
USMF,5506,0,0.00,0,0.00,40.58,5420,86
IBHG,5141,0,0.00,0,0.00,21.94,5141,0
DNOV,5132,0,0.00,0,0.00,37.62,5132,0
YJUN,5079,0,0.00,0,0.00,20.50,3279,1800
SATO,5059,0,0.00,0,0.00,9.67,4589,470
MPRO,5047,0,0.00,0,0.00,25.74,5047,0
FLHY,4973,0,0.00,0,0.00,22.95,4973,0
MFUL,4925,0,0.00,0,0.00,21.57,4925,0
GTIP,4813,0,0.00,0,0.00,47.89,2313,2500
IYLD,4691,0,0.00,0,0.00,19.40,4691,0
FCLD,4671,0,0.00,0,0.00,21.25,4670,1
NUEM,4579,0,0.00,0,0.00,26.58,4579,0
OILK,4551,0,0.00,0,0.00,44.09,4551,0
FLIA,4391,0,0.00,0,0.00,19.88,3985,406
IGE,4379,0,0.00,0,0.00,40.64,4379,0
PAPR,4364,0,0.00,0,0.00,31.98,4364,0
SHYD,4314,0,0.00,0,0.00,21.82,4314,0
PJAN,4181,0,0.00,0,0.00,36.67,4181,0
FPRO,4152,0,0.00,0,0.00,20.32,4152,0
IBML,4119,0,0.00,0,0.00,25.54,4119,0
PMAR,4051,0,0.00,0,0.00,34.99,4051,0
QSPT,3978,0,0.00,0,0.00,22.96,3978,0
BUFQ,3975,0,0.00,0,0.00,27.21,1828,2147
GDMN,3803,0,0.00,0,0.00,23.82,3803,0
TMFG,3692,0,0.00,0,0.00,27.62,3692,0
FLDR,3634,0,0.00,0,0.00,49.62,3634,0
HYGW,3612,0,0.00,0,0.00,33.88,3489,123
EAOK,3600,0,0.00,0,0.00,24.03,3600,0
EAOA,3591,0,0.00,0,0.00,30.81,3591,0
FPFD,3526,0,0.00,0,0.00,20.28,3526,0
FJAN,3472,0,0.00,0,0.00,38.52,3472,0
KOCT,3451,0,0.00,0,0.00,26.05,3451,0
TMFS,3408,0,0.00,0,0.00,27.39,3408,0
IBMP,3368,0,0.00,0,0.00,25.14,3368,0
TMFM,3363,0,0.00,0,0.00,24.13,3363,0
BUFG,3338,0,0.00,0,0.00,20.65,2538,800
BUFZ,3315,0,0.00,0,0.00,20.97,3315,0
HYDB,3301,0,0.00,0,0.00,47.53,3301,0
UJAN,3267,0,0.00,0,0.00,34.05,3267,0
RSBT,3257,0,0.00,0,0.00,17.16,3257,0
XDQQ,3257,0,0.00,0,0.00,26.04,3257,0
SECT,3217,0,0.00,0,0.00,44.38,3217,0
OMFS,3210,0,0.00,0,0.00,34.77,3210,0
IZRL,3194,0,0.00,0,0.00,17.93,3194,0
IBMM,3131,0,0.00,0,0.00,25.88,3071,60
BOXX,3122,0,0.00,0,0.00,104.62,3122,0
GSEW,3114,0,0.00,0,0.00,63.26,3014,100
TJUL,3109,0,0.00,0,0.00,25.12,3109,0
IGEB,3077,0,0.00,0,0.00,43.81,3077,0
